Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
web.de,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
persianblog.ir,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
quizlet.com,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
ricecretin.com,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,1
secure.runescape.rs-e.xyz,0,0,1,2,0,0,0,1,0,1,0,1,1,1,1,1,1
censor.net.ua,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
delgadaygordo.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
seekthemes.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
atefnet.com,0,0,1,7,0,0,1,0,0,1,0,0,0,0,1,0,1
profelectrik.ru,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1
educacion.rionegro.gov.ar,0,0,1,8,0,0,0,0,0,1,1,0,0,0,1,0,1
mcaremart.com,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
planwise.co.za,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,1
superuser.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
metro.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
elevenia.co.id,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
hubpages.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
87.138.95.150:8080,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
kakaku.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
themeforest.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,0
secured.signin.eday.de.ws.isapi.view.item.3985503121144.hashitemtqzoxvwlexexrpz9ntfww2e2onn9s0b.reiadv.com,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
esapcepro-org.com,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
grupwhatsappsexy.zyns.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
weberspro.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
wuarface.ru:443,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
ltaucardrenovacao.unaux.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1
putlocker.is,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
environaquatech.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
15688c.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
codecanyon.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
puntaarenas.cl,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,1
zoohanpro.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
vadodaramarathon.com,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,1
themeforest.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,0
tunein.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1,0
saldao-casasbahia-mesdasmaes.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
buzzfil.net,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
udn.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
comicbook.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
yourfitnesscorner.com,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,1
live-microsoft.dns.army,0,0,0,2,0,0,0,1,1,0,1,1,0,0,1,0,1
pg-series-atendimento.joomla.com,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,1
themkdiaries.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
night-kingdom.mysteria.cz,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1
lifehacker.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0
piandizano.it,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
rebrand.ly,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
ftp.lesterandco.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
godrejproperties-thane.co.in,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
nesn.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
btc-ex.buzz,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
icicibank.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
hamt.jp,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,1
arstechnica.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
championsgate-vacationhomes.orlandoareavacation.com,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1
espaceclientv1.fr,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
tobogo.net,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
fareast.qa,0,0,1,3,0,0,0,0,1,1,1,1,1,0,1,0,1
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
otomoto.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
jezebel.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0
mnstuff.com,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1
gizmodo.com,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
themeforest.net,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
dsv.cubotec.com.br,0,0,1,4,0,0,0,0,0,1,1,1,1,0,1,0,1
icipedudu-my.sharepoint.com,0,0,1,7,0,0,1,1,0,0,1,1,0,0,1,0,1
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
deadspin.com,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
cs25882.tmweb.ru,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1
raportcsr.allegro.secfence.lesavik.net,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
maticcoupon.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
taijishentie.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1
betasusturkiye.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
paypal-support-help-inc.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1
itsallaboutthetubmans.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
egyphar.net,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
di448620c5wng.cloudfront.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,1
synerquest.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1
sylviamclain-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0,1
oninet.al,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
auto.ru,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
sastaservices.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
telegraf.com.ua,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
cm1.info,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
indianexpress.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
katproxy.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
adtekz.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
whatsappjoingrup.zyns.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
screenrant.com,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
it-services.my-free.website,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
1drvcloud.dnsabr.com,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
medium.com,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
birrasalentoshop.it,0,0,1,6,0,0,0,0,0,1,0,1,1,0,1,0,1
medium.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
mirtesen.ru,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
otomoto.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
facebook.valkan.cl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
yorkshire.es,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
wu7q5.app.link,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
demo.mkt.exoret.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
distractify.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0
tinnhanh360.net,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
perdoesdiesel.com.br,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
florenzakhamsin.com,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,1
myspace.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
xvideo-jp.com,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0
hollywoodlife.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
hotelmontiazzurri.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
a2plvcpnl308307.prod.iad2.secureserver.net,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
irestro.in,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
io9.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
gov.uk,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
noticias.uol.com.br,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
comicbook.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
playarprint.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1
forms.gle,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
whare.100webspace.net,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1
eksisozluk.com,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
hosting2086464.online.pro,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
advonationusa.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,1
mediaset.it,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
jppost-na.top,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1
awesomeorg.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
surveyheart.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1
depositphotos.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
excellchuyensau.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
hamt.jp,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,1
art-sticker.fr,0,0,1,4,0,0,0,1,0,1,0,0,0,0,1,0,1
zjgsyds.cn,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
rocketnews24.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
yourfitnesscorner.com,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,1
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
illitrading.ro,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
mail.jannawels.nl,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
techcrunch.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
betindianasports.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
myspace.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
capminvestment.com,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1
han.gl,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
healmedicaltrauma.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
gulhasal.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
otomoto.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
psicoinspire.com.br,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
deal8282.com,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
icipedudu-my.sharepoint.com,0,0,1,7,0,0,1,1,0,0,1,1,0,0,1,0,1
waspsstore.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
olx.co.id,0,0,1,7,0,0,1,0,0,1,0,0,0,0,1,1,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
getpocket.com,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
okseurope.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
betasusturkiyee.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
searchengineland.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
art-sticker.fr,0,0,1,5,0,0,0,1,0,1,0,0,0,0,1,0,1
bitnskins.com,0,0,1,2,1,0,0,0,0,1,0,1,1,0,1,0,1
olx.ro,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
xvideo-jp.com,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0
atualizacao-segura.serveirc.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
xiolue.com,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
itmrs.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
india-medicina.ru,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1
persianblog.ir,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
moviepilot.com,0,0,1,5,0,0,1,0,0,1,1,1,1,1,1,1,0
kickass.to,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
aldershvile.no,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
houseoftiresbcs.com,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
grantland.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
metro.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
codepen.io,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
cookpad.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
jaysuntravels.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
cox.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
maersklinesllc.dx.am,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
oneplus.net,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0
sfglobe.com,0,0,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
team-snudesde.google-safety.de,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
gcspolk.com,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1
sirdarnell.org,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
han.gl,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
allrecipes.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,1,0
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
jlgraphic.fr,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
9gag.tv,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0
otomoto.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
davidsonandbeks.com,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
pikabu.ru,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
otomoto.pl,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
avalonsempresa.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
olx.ro,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
storage.googleapis.com,0,0,1,3,0,0,1,0,1,1,1,1,0,0,1,0,1
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
syosetu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
askubuntu.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,0,1,0,0,1,0,1,0,1
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
radioabbasfm.com.br,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
espn.go.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
tune.pk,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
adnet8.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
satkom.id,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
c1781279.ferozo.com,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,1
restaurantelabarquita.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
oferamericanasweb.com,0,0,1,2,0,0,0,0,0,1,0,1,1,0,1,0,1
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
interpark.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
extroloil.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
a0433638.xsph.ru,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1
shafeimall046.top,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1
170.84.83.54,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
udn.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
livewild.co,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1
digg.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
usereinloggen.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
stackoverflow.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
depositphotos.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
avaceklpterms.ga,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
axersrl.it,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
firebasestorage.googleapis.com,0,0,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1
squarespace.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,1,0
oneplus.net,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0
outofprint.cc,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
seesaawiki.jp,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
advonationusa.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
variety.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0
corazonvenezolano.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
mediaset.it,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
